artist,song,popularity,uri,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,0,clusters
Radio Radio,"Roulez, commencez",0,spotify:track:6zKsGoAXLo8Y4p2Pfr3c7O,https://open.spotify.com/track/6zKsGoAXLo8Y4p2Pfr3c7O,0.539,0.637,3.0,-12.093,1.0,0.117,0.834,0.0201,0.137,0.391,92.038,audio_features,6zKsGoAXLo8Y4p2Pfr3c7O,https://api.spotify.com/v1/tracks/6zKsGoAXLo8Y4p2Pfr3c7O,https://api.spotify.com/v1/audio-analysis/6zKsGoAXLo8Y4p2Pfr3c7O,193973.0,4.0,,2
The Police,Roxanne,0,spotify:track:6eXovJdAhh26KFdpicZScW,https://open.spotify.com/track/6eXovJdAhh26KFdpicZScW,0.593,0.635,5.0,-11.474,1.0,0.431,0.0643,0.0,0.0261,0.786,133.137,audio_features,6eXovJdAhh26KFdpicZScW,https://api.spotify.com/v1/tracks/6eXovJdAhh26KFdpicZScW,https://api.spotify.com/v1/audio-analysis/6eXovJdAhh26KFdpicZScW,194760.0,4.0,,5
John Travolta,"Royale With Cheese - Dialogue Excerpt From ""Pulp Fiction""",0,spotify:track:2Km3DDRk7jEIcWhKvllbst,https://open.spotify.com/track/2Km3DDRk7jEIcWhKvllbst,0.553,0.745,6.0,-17.07,1.0,0.589,0.766,0.0,0.513,0.183,108.349,audio_features,2Km3DDRk7jEIcWhKvllbst,https://api.spotify.com/v1/tracks/2Km3DDRk7jEIcWhKvllbst,https://api.spotify.com/v1/audio-analysis/2Km3DDRk7jEIcWhKvllbst,103467.0,3.0,,16
Lorde,Royals,80,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,0.674,0.428,7.0,-9.504,1.0,0.122,0.121,0.0,0.132,0.337,84.878,audio_features,2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,190185.0,4.0,,10
Lorde,Royals,2,spotify:track:7BFI9QZPQKgYuR2HhDgwbG,https://open.spotify.com/track/7BFI9QZPQKgYuR2HhDgwbG,0.674,0.428,7.0,-9.504,1.0,0.122,0.121,0.0,0.132,0.337,84.878,audio_features,7BFI9QZPQKgYuR2HhDgwbG,https://api.spotify.com/v1/tracks/7BFI9QZPQKgYuR2HhDgwbG,https://api.spotify.com/v1/audio-analysis/7BFI9QZPQKgYuR2HhDgwbG,190185.0,4.0,,10
Cage The Elephant,Rubber Ball,0,spotify:track:4Xl5Pl29kOTE9UVBL7kewR,https://open.spotify.com/track/4Xl5Pl29kOTE9UVBL7kewR,0.431,0.278,5.0,-15.634,1.0,0.0292,0.802,1.53e-05,0.0752,0.0568,82.053,audio_features,4Xl5Pl29kOTE9UVBL7kewR,https://api.spotify.com/v1/tracks/4Xl5Pl29kOTE9UVBL7kewR,https://api.spotify.com/v1/audio-analysis/4Xl5Pl29kOTE9UVBL7kewR,227787.0,3.0,,9
Portico Quartet,Ruins,0,spotify:track:7IBCAqTDvfwioY8uwhzuYc,https://open.spotify.com/track/7IBCAqTDvfwioY8uwhzuYc,0.549,0.566,10.0,-9.545,1.0,0.0427,0.617,0.814,0.0762,0.122,109.529,audio_features,7IBCAqTDvfwioY8uwhzuYc,https://api.spotify.com/v1/tracks/7IBCAqTDvfwioY8uwhzuYc,https://api.spotify.com/v1/audio-analysis/7IBCAqTDvfwioY8uwhzuYc,334040.0,4.0,,4
Ariane Moffatt,Rules of Legal Love,3,spotify:track:1Cm7LULbxoWDnMkXN7U8qf,https://open.spotify.com/track/1Cm7LULbxoWDnMkXN7U8qf,0.484,0.367,4.0,-8.425,1.0,0.0263,0.254,0.0127,0.0946,0.208,142.348,audio_features,1Cm7LULbxoWDnMkXN7U8qf,https://api.spotify.com/v1/tracks/1Cm7LULbxoWDnMkXN7U8qf,https://api.spotify.com/v1/audio-analysis/1Cm7LULbxoWDnMkXN7U8qf,250920.0,4.0,,18
Brazilian Girls,Rules Of The Game,13,spotify:track:2m6qwBVXoK7yDqWWlXQbtN,https://open.spotify.com/track/2m6qwBVXoK7yDqWWlXQbtN,0.709,0.846,0.0,-8.43,1.0,0.0581,0.32,0.00444,0.574,0.219,115.029,audio_features,2m6qwBVXoK7yDqWWlXQbtN,https://api.spotify.com/v1/tracks/2m6qwBVXoK7yDqWWlXQbtN,https://api.spotify.com/v1/audio-analysis/2m6qwBVXoK7yDqWWlXQbtN,282747.0,4.0,,14
Vampire Weekend,Run,0,spotify:track:0LkcxvrnqrgwnNo9zczBBB,https://open.spotify.com/track/0LkcxvrnqrgwnNo9zczBBB,0.636,0.744,2.0,-6.504,1.0,0.0597,0.0122,0.0459,0.0643,0.804,113.545,audio_features,0LkcxvrnqrgwnNo9zczBBB,https://api.spotify.com/v1/tracks/0LkcxvrnqrgwnNo9zczBBB,https://api.spotify.com/v1/audio-analysis/0LkcxvrnqrgwnNo9zczBBB,232600.0,4.0,,1
The Beatles,Run For Your Life - Remastered 2009,53,spotify:track:4gUYV3ktbaOeAK5KrXMWV5,https://open.spotify.com/track/4gUYV3ktbaOeAK5KrXMWV5,0.563,0.705,2.0,-9.232,1.0,0.103,0.0103,0.0,0.0552,0.822,176.732,audio_features,4gUYV3ktbaOeAK5KrXMWV5,https://api.spotify.com/v1/tracks/4gUYV3ktbaOeAK5KrXMWV5,https://api.spotify.com/v1/audio-analysis/4gUYV3ktbaOeAK5KrXMWV5,141093.0,4.0,,3
